month,number_of_tankers,gross_tonnage
2002-01,1384,26205.85
2002-02,1235,21853.82
2002-03,1452,28396.15
2002-04,1439,29214.33
2002-05,1474,25733.84
2002-06,1435,24798.81
2002-07,1427,27464.91
2002-08,1388,25113.37
2002-09,1345,23728.49
2002-10,1452,26723.02
2002-11,1444,26373.69
2002-12,1445,27744.31
2003-01,1431,27719.6
2003-02,1295,26103.62
2003-03,1417,27606.95
2003-04,1458,26485.77
2003-05,1383,24240.45
2003-06,1442,26021.54
2003-07,1510,26161.82
2003-08,1494,26074.46
2003-09,1411,24841.7
2003-10,1391,25732.72
2003-11,1431,24485
2003-12,1421,26296.46
2004-01,1552,27856.38
2004-02,1401,24214.34
2004-03,1570,28065.55
2004-04,1518,27363.15
2004-05,1525,28570.64
2004-06,1476,26801.76
2004-07,1483,27609.13
2004-08,1380,26709
2004-09,1425,30623.76
2004-10,1376,27288.47
2004-11,1427,28954.4
2004-12,1443,27663.9
2005-01,1469,29698.76
2005-02,1278,24553.82
2005-03,1472,29576.7
2005-04,1446,27535.49
2005-05,1527,29684.81
2005-06,1488,30892.2
2005-07,1472,30067.77
2005-08,1520,33697.31
2005-09,1390,29189.59
2005-10,1414,29175.03
2005-11,1385,27219.36
2005-12,1454,28338.76
2006-01,1457,31700.52
2006-02,1347,30141.03
2006-03,1486,33474.1
2006-04,1506,34093.49
2006-05,1576,35622.57
2006-06,1535,35969.96
2006-07,1564,34067.66
2006-08,1574,35750.8
2006-09,1592,33608.92
2006-10,1510,32790.23
2006-11,1534,34261.4
2006-12,1514,34092.06
2007-01,1618,36323.67
2007-02,1485,32924.22
2007-03,1675,38866.11
2007-04,1607,36623.12
2007-05,1591,36414.81
2007-06,1613,36466.92
2007-07,1649,38672.6
2007-08,1611,35973.52
2007-09,1639,40936.66
2007-10,1640,37972.22
2007-11,1565,37027.12
2007-12,1619,37246.88
2008-01,1610,40338.33
2008-02,1477,38328.65
2008-03,1685,44309.46
2008-04,1739,45958.08
2008-05,1637,40943.59
2008-06,1664,40313.61
2008-07,1639,38071.61
2008-08,1707,43235.78
2008-09,1579,40298.82
2008-10,1526,37321.76
2008-11,1564,37775.21
2008-12,1633,37520.37
2009-01,1618,41974.44
2009-02,1460,34281.27
2009-03,1686,42490.85
2009-04,1652,40946.68
2009-05,1748,47519.26
2009-06,1727,44244.39
2009-07,1718,44548.15
2009-08,1740,48271
2009-09,1662,45225.27
2009-10,1770,47408.48
2009-11,1612,43662.27
2009-12,1687,47045.49
2010-01,1785,47167.79
2010-02,1654,43708.39
2010-03,1830,48111.87
2010-04,1717,44942.82
2010-05,1774,46942.66
2010-06,1814,48416.87
2010-07,1852,48521.73
2010-08,1837,47573
2010-09,1764,46798.42
2010-10,1805,50536.25
2010-11,1713,48114.48
2010-12,1810,48559.64
2011-01,1885,51545.92
2011-02,1703,51346.42
2011-03,1954,58268.15
2011-04,1860,54231.52
2011-05,1892,53890.07
2011-06,1820,50291.38
2011-07,1894,53493.46
2011-08,1952,60337.05
2011-09,1772,52698.9
2011-10,1874,54400.96
2011-11,1761,50674.17
2011-12,1913,61503.69
2012-01,1902,58583.67
2012-02,1784,54639.27
2012-03,1945,63947.55
2012-04,1851,58078.3
2012-05,1945,61286.07
2012-06,1805,58467.08
2012-07,1818,55418.25
2012-08,1810,55776.15
2012-09,1834,56144.34
2012-10,1843,56729.15
2012-11,1842,57084.95
2012-12,1851,57684.66
2013-01,1887,58141.83
2013-02,1750,55493.63
2013-03,1846,55825
2013-04,1895,56594.2
2013-05,1937,62079.14
2013-06,1818,56592.51
2013-07,1952,61891.39
2013-08,1890,59526.93
2013-09,1834,56424.28
2013-10,1921,57520.26
2013-11,1917,60105.09
2013-12,1970,64649.29
2014-01,2007,67180
2014-02,1765,57277.54
2014-03,1929,61052.01
2014-04,1876,59913.32
2014-05,1958,61920.19
2014-06,1790,53330.04
2014-07,1895,59477.66
2014-08,1827,60930.11
2014-09,1764,56510.88
2014-10,1857,56623.09
2014-11,1761,57379.3
2014-12,1789,55869.85
2015-01,1851,60045.76
2015-02,1711,54219.4
2015-03,1838,61795.78
2015-04,1859,61316.9
2015-05,1851,60615.97
2015-06,1763,58020.11
2015-07,1828,61222.92
2015-08,1898,64428.56
2015-09,1764,56605.83
2015-10,1901,61680.12
2015-11,1853,58012.31
2015-12,1945,61481.84
2016-01,2048,62755.72
2016-02,1904,59920.73
2016-03,2067,66092.32
2016-04,2030,66279.54
2016-05,1994,66999.05
2016-06,2002,68138.86
2016-07,1981,66055.85
2016-08,1917,64972.91
2016-09,1935,64282.98
2016-10,1959,65411.98
2016-11,1918,66269.33
2016-12,1940,63669.68
2017-01,2097,74696.33
2017-02,1867,64420.07
2017-03,2193,77171.09
2017-04,2039,70158.82
2017-05,2049,73074.08
2017-06,2041,72507.16
2017-07,2037,77465.65
2017-08,1990,74537.7
2017-09,2003,72387.42
2017-10,2013,72826.54
2017-11,2043,71131.9
2017-12,2039,75464.16
2018-01,2063,72409.91
2018-02,1878,70402.25
2018-03,2109,76209.91
2018-04,2055,78273.39
2018-05,2007,72251.69
2018-06,1937,69664.68
2018-07,2007,70818.02
2018-08,1932,67582.94
2018-09,2020,72194.24
2018-10,2046,78066.25
2018-11,2049,76682.55
2018-12,2062,77065.64
2019-01,2094,80815.86
2019-02,1905,72734.08
2019-03,1978,71874.06
2019-04,1974,73286.91
2019-05,2121,79967.59
2019-06,1980,74374.99
2019-07,2036,77788.88
2019-08,1999,73994.75
2019-09,2039,75480
2019-10,2170,80638.06
2019-11,2319,81374.88
2019-12,2444,87524.44
2020-01,2507,89245.66
2020-02,2126,82209.61
2020-03,2417,90083.91
2020-04,2117,81431.11
2020-05,2108,78864.37
2020-06,2108,78448.56
2020-07,2225,86377.58
2020-08,2157,84041.86
2020-09,2150,82665.94
2020-10,2131,81461.1
2020-11,2143,88614.09
2020-12,2168,88960.35
2021-01,2316,95689.15
2021-02,2110,86171.2
2021-03,2203,88877.69
2021-04,2079,86881.95
2021-05,2079,85851.26
2021-06,1978,81383.61
2021-07,1975,82136.62
2021-08,1858,79382.02
2021-09,1865,81760.07
2021-10,1908,82368.5
2021-11,1963,86739.35
2021-12,2008,87300.15
2022-01,2014,90591.28
2022-02,1797,76284.37
2022-03,1899,82423.17
2022-04,1984,83208.73
2022-05,2041,84433.42
2022-06,1979,83579.19
2022-07,2030,88810.53
2022-08,2070,88931.28
2022-09,2014,84467.76
2022-10,2121,88236.56
2022-11,2084,89559.33
2022-12,2096,86113.38
2023-01,2192,90149.04
2023-02,1968,78939.11
2023-03,2168,89483.63
2023-04,2149,87367.32
2023-05,2125,87118.91
2023-06,2012,82039.11
2023-07,2020,80372.33
2023-08,2003,82169.89
2023-09,1944,80749.32
2023-10,2071,86945.01
2023-11,2046,86616.23
2023-12,2065,82657.57
2024-01,2223,89147.21
2024-02,2097,80772.27
2024-03,2197,88871.71
2024-04,2072,81332.41
2024-05,2263,89904.93
2024-06,2089,79740.1
2024-07,2164,84223.03
2024-08,2189,83190.88
2024-09,2078,81089.78
2024-10,2147,85104.64
2024-11,2151,82567.13
2024-12,2132,83380.7
2025-01,2172,82577.57
2025-02,1900,68819.54
2025-03,2078,80083.12
2025-04,2056,77025.59
2025-05,2181,81774.61
2025-06,2158,80341.85
2025-07,2259,85113.18
2025-08,2269,85252.33
2025-09,2143,76644.9
2025-10,2259,81598.19
2025-11,2171,80902.67
2025-12,2248,86429.94
2026-01,2282,83182.72
2026-02,2084,72165.62
2026-03,2302,85291.88
2026-04,2085,73398.28
